,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
107,The Script,thescript,0.799746,199,"[u'The Script', u'Train', u'Nicki Minaj', u'P!nk', u'Lorde']","[  6.74678768e-08   1.36325871e+00   1.36451833e+00   1.37150989e+00
   1.37508107e+00]"
108,Christina Aguilera,xtina,0.79962,200,"[u'Christina Aguilera', u'Blake Shelton', u'Selena Gomez', u'Maroon 5', u'Massive Attack']","[  7.37569849e-08   1.25724564e+00   1.26097677e+00   1.26418451e+00
   1.26892550e+00]"
109,Emeli Sande,emelisande,0.799588,200,"[u'Emeli Sande', u'Naughty Boy', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.08846852  1.21103915  1.2238706   1.23846012]
110,Of Monsters and Men,monstersandmen,0.799277,200,"[u'Of Monsters and Men', u'Selena Gomez', u'Massive Attack', u'The Cranberries', u'Mumford and Sons']",[ 0.          1.19741973  1.20523838  1.20878143  1.20950578]
111,Lil Wayne,LilTunechi,0.79915,200,"[u'Lil Wayne', u'Big Sean', u'Mac Miller', u'Nickelback', u'Jaheim']",[ 0.          1.31990837  1.32000786  1.3243552   1.3267477 ]
112,Two Door Cinema Club,TDCinemaClub,0.79897,200,"[u'Two Door Cinema Club', u'The Cranberries', u'Mumford and Sons', u'Selena Gomez', u'Massive Attack']","[  3.33200094e-08   1.22943742e+00   1.24213982e+00   1.24482765e+00
   1.24850887e+00]"
113,Thomas Rhett,ThomasRhett,0.798851,200,"[u'Thomas Rhett', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.17957426  1.19266943  1.21059998  1.22180828]
114,The Saturdays,TheSaturdays,0.798306,200,"[u'The Saturdays', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  2.78775199e-08   1.27822762e+00   1.28446282e+00   1.29503163e+00
   1.29898607e+00]"
115,Michael Bublé,michaelbuble,0.7975,198,"[u'Michael Bubl\xe9', u'Michael Jackson', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.19693573  1.25041443  1.25721077  1.27091156]
116,Pink Floyd,pinkfloyd,0.797144,200,"[u'Pink Floyd', u'P!nk', u'Massive Attack', u'Selena Gomez', u'Lou Reed']","[  4.21468485e-08   1.18189706e+00   1.31590210e+00   1.31925057e+00
   1.33131442e+00]"
117,Shreya Ghoshal,shreyaghoshal,0.795924,200,"[u'Shreya Ghoshal', u'Selena Gomez', u'Massive Attack', u'Trina', u'Maya Jane Coles']","[  1.02157214e-07   1.32343136e+00   1.33200277e+00   1.33503407e+00
   1.33786128e+00]"
118,Alan Jackson,OfficialJackson,0.795603,200,"[u'Alan Jackson', u'Selena Gomez', u'Massive Attack', u'Trina', u'Big Daddy Weave']",[ 0.          1.17253293  1.18349608  1.19991566  1.21279169]
119,Dizzee Rascal,DizzeeRascal,0.795153,199,"[u'Dizzee Rascal', u'Rudimental', u'Selena Gomez', u'Robbie Williams', u'Massive Attack']","[  3.94247668e-08   1.30376655e+00   1.30423218e+00   1.30815170e+00
   1.31345522e+00]"
120,Jennifer Lopez,JLo,0.794777,199,"[u'Jennifer Lopez', u'Harry Connick, Jr.', u'Selena Gomez', u'Trina', u'Massive Attack']",[ 0.          1.28299153  1.31550888  1.32576928  1.32904741]
121,Carly Rae Jepsen,carlyraejepsen,0.794115,200,"[u'Carly Rae Jepsen', u'Selena Gomez', u'Victoria Justice', u'Massive Attack', u'Fergie']",[ 0.          1.18140493  1.19189982  1.19331239  1.2067802 ]
122,Psy,psy_oppa,0.793622,199,"[u'Psy', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  3.65002415e-08   1.23435687e+00   1.24465468e+00   1.26044721e+00
   1.26401294e+00]"
123,Empire of the Sun,EmpireOfTheSun,0.793415,200,"[u'Empire of the Sun', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']",[ 0.          1.18850379  1.19494979  1.21561301  1.21820462]
124,Gavin DeGraw,GavinDeGraw,0.792726,200,"[u'Gavin DeGraw', u'Train', u'Selena Gomez', u'Massive Attack', u'Christina Perri']",[ 0.          1.31331625  1.31828146  1.32459277  1.32856096]
125,Ricky Martin,ricky_martin,0.792444,200,"[u'Ricky Martin', u'Espinoza Paz', u'Reik', u'Alejandro Sanz', u'No te va Gustar']","[  5.37269007e-08   1.18155912e+00   1.18483243e+00   1.18752367e+00
   1.19325240e+00]"
126,LMFAO,LMFAO,0.792432,200,"[u'LMFAO', u'Red Foo', u'Selena Gomez', u'Ariana Grande', u'Nicki Minaj']",[ 0.          0.76464179  1.31809286  1.31953722  1.32370864]
127,Moby,thelittleidiot,0.791905,200,"[u'Moby', u'Selena Gomez', u'Massive Attack', u'Lou Reed', u'Trina']",[ 0.          1.22672035  1.23316795  1.24427907  1.24795115]
128,Rizzle Kicks,RizzleKicks,0.791897,200,"[u'Rizzle Kicks', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.27971569  1.28751696  1.29677004  1.29842859]
129,Jake Bugg,JakeBugg,0.790709,198,"[u'Jake Bugg', u'The Cranberries', u'Maya Jane Coles', u'Sub Focus', u'Bastille']",[ 0.          1.24052442  1.24393955  1.24401313  1.24716095]
130,Zoé,zoetheband,0.790634,200,"[u'Zo\xe9', u'No te va Gustar', u'Reik', u'Banda El Recodo', u'La Oreja de Van Gogh']",[ 0.          1.16085806  1.20213826  1.20426557  1.21046388]
131,Sting,OfficialSting,0.790612,200,"[u'Sting', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons', u'Tame Impala']",[ 0.          1.25542592  1.26157628  1.27223686  1.2753993 ]
132,The Rolling Stones,RollingStones,0.790212,200,"[u'The Rolling Stones', u'Selena Gomez', u'Massive Attack', u'Lou Reed', u'Trina']",[ 0.          1.23880768  1.24192467  1.24904822  1.26216747]
133,Elton John,eltonjohndotcom,0.790085,200,"[u'Elton John', u'Selena Gomez', u'Massive Attack', u'Lou Reed', u'Trina']","[  5.86659303e-08   1.23576065e+00   1.23659478e+00   1.25984610e+00
   1.26006956e+00]"
134,Led Zeppelin,ledzeppelin,0.788932,46,"[u'Led Zeppelin', u'Massive Attack', u'Selena Gomez', u'Trina', u'Lou Reed']",[ 0.          1.303838    1.31257734  1.32373939  1.32406449]
135,A Day to Remember,joshuawoodard,0.788376,200,"[u'A Day to Remember', u'All Time Low', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.22951659  1.2399934   1.25395804  1.26506881]
136,Lady Antebellum,ladyantebellum,0.786813,200,"[u'Lady Antebellum', u'Selena Gomez', u'Massive Attack', u'Trina', u'Florida Georgia Line']",[ 0.          1.24593242  1.25845228  1.26994109  1.27396638]
