,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
254,Asking Alexandria,AfuckingA,0.755371,200,"[u'Asking Alexandria', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Cut Copy']",[ 0.          0.97188169  0.97995488  1.00424187  1.02475506]
255,Lucy Spraggan,lspraggan,0.755109,200,"[u'Lucy Spraggan', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Ariana Grande']",[ 0.          1.08748098  1.08859386  1.09986037  1.10675604]
256,Martin Solveig,martinsolveig,0.754421,200,"[u'Martin Solveig', u'Dillon Francis', u'Maya Jane Coles', u'Big Daddy Weave', u'David Guetta']",[ 0.          1.13199857  1.18963192  1.19952374  1.20161669]
257,Black Sabbath,OfficialSabbath,0.754211,200,"[u'Black Sabbath', u'Massive Attack', u'Selena Gomez', u'Tame Impala', u'Big Daddy Weave']","[  3.65002415e-08   1.05597103e+00   1.05657373e+00   1.09253064e+00
   1.09326598e+00]"
258,Tame Impala,tameimpala,0.753959,200,"[u'Tame Impala', u'Selena Gomez', u'Massive Attack', u'Lou Reed', u'Trina']","[  4.71216092e-08   8.21975254e-01   8.22817521e-01   8.91137932e-01
   8.91992338e-01]"
259,Bon Iver,boniver,0.75365,200,"[u'Bon Iver', u'Massive Attack', u'Selena Gomez', u'Mumford and Sons', u'Big Daddy Weave']","[  2.78775199e-08   9.61788080e-01   9.63391345e-01   9.83138449e-01
   9.83674470e-01]"
260,Eduardo Costa,eduardocosta,0.753356,200,"[u'Eduardo Costa', u'Jo\xe3o Neto e Frederico', u'Pitty', u'Ivete Sangalo', u'Munhoz & Mariano']",[ 0.          1.15194523  1.16007835  1.17131317  1.20169524]
261,All Time Low,AlexAllTimeLow,0.752875,200,"[u'All Time Low', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.01751872  1.03606631  1.03980826  1.06778695]
262,Asha Bhosle,ashabhosle,0.752429,199,"[u'Asha Bhosle', u'Big Daddy Weave', u'Maya Jane Coles', u'Katie Melua', u'Boy & Bear']",[ 0.          1.14713725  1.14746718  1.16233125  1.16333581]
263,Pet Shop Boys,petshopboys,0.752083,200,"[u'Pet Shop Boys', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Mumford and Sons']",[ 0.          1.0856835   1.08862839  1.10090161  1.12009741]
264,fun.,OurNameIsFun,0.752081,200,"[u'fun.', u'Selena Gomez', u'Massive Attack', u'Mumford and Sons', u'Big Daddy Weave']",[ 0.          0.93713946  0.9401659   0.95840055  0.96848347]
265,R. Kelly,rkelly,0.751736,197,"[u'R. Kelly', u'Maya Jane Coles', u'Big Daddy Weave', u'Madcon', u'Boy & Bear']","[  3.94247668e-08   1.20889694e+00   1.21606651e+00   1.21985770e+00
   1.22180960e+00]"
266,The National,The_National,0.751724,199,"[u'The National', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'The Cranberries']",[ 0.          1.09705121  1.10755685  1.10916822  1.11554315]
267,Jimi Hendrix,JimiHendrix,0.750654,200,"[u'Jimi Hendrix', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'The Beatles']",[ 0.          1.30079044  1.30369581  1.30614449  1.30733551]
268,MAN WITH A MISSION,mwamjapan,0.750634,200,"[u'MAN WITH A MISSION', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.29415901  1.2962044   1.30261627  1.30548302]
269,David Nail,davidnail,0.750615,200,"[u'David Nail', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Katie Melua']","[  4.47034836e-08   1.15412159e+00   1.17040444e+00   1.17118929e+00
   1.17425557e+00]"
270,Fitz & The Tantrums,FitzAndTantrums,0.750443,200,"[u'Fitz & The Tantrums', u'Capital Cities', u'Big Daddy Weave', u'Maya Jane Coles', u'Selena Gomez']","[  7.45058060e-08   6.96581768e-01   1.07795045e+00   1.08783289e+00
   1.09076827e+00]"
271,Rush,rushtheband,0.750214,200,"[u'Rush', u'Massive Attack', u'Selena Gomez', u'Lou Reed', u'Tame Impala']",[ 0.          0.97403973  0.97859079  1.01335592  1.02588745]
272,Nelly Furtado,NellyFurtado,0.750133,199,"[u'Nelly Furtado', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.19003789  1.19414632  1.20367732  1.2134609 ]
273,French Montana,FrencHMonTanA,0.749726,199,"[u'French Montana', u'Meek Mill', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.09666791  1.12467532  1.14142723  1.15439621]
274,Meek Mill,MeekMill,0.749237,200,"[u'Meek Mill', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  4.59284634e-08   1.05415543e+00   1.06354588e+00   1.08595229e+00
   1.09522070e+00]"
275,Austin Mahone,AustinMahone,0.749229,199,"[u'Austin Mahone', u'Maya Jane Coles', u'Ariana Grande', u'Big Daddy Weave', u'Sara Bareilles']","[  8.16170212e-08   1.28829040e+00   1.29060858e+00   1.29125570e+00
   1.29537992e+00]"
276,Rick Ross,rickyrozay,0.749217,200,"[u'Rick Ross', u'Meek Mill', u'Selena Gomez', u'French Montana', u'Massive Attack']","[  3.94247668e-08   1.13582878e+00   1.17210421e+00   1.17214334e+00
   1.17830225e+00]"
277,Lynyrd Skynyrd,Skynyrd,0.748813,200,"[u'Lynyrd Skynyrd', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Meat Loaf']","[  2.98023224e-08   1.17432035e+00   1.18389166e+00   1.18877123e+00
   1.20463004e+00]"
